1,"You are a durham student walking by the river and admiring the Durham Cathedral at 16:00 on a Thursday. You come across a body embanked on the riverside. You call the police and look around till they arrive. You inspect the body. No sign of visible wounds. Young, most likely a student. You proceed and inspect the clothes. Casual wear. No signs of struggle. You inspect the site. No footprints, body must have floated downstream. Police arrive and question you. [Carl]""You alright?"" [Player]""I'm a student and would like to be involved in the investigation to gain some experience if that's alright?."" [Carl] ""Sure, I'm Carl by the way. Come by the police office tomorrow."" Next day you arrive at the police station.",Ask if there is an autopsy report,2,,,,,,,,,,
2,"[Carl]""There is a preliminary report. No external wounds. Estimated time of death is 17 hours before the body was found. Alcohol and opiates mixed in blood stream providing a potential cause of death.""",Ask if there is anyone that I can interview,Ask if there is anything that I can do to help,3,4,,,,,,,,,
3,"[Carl]""There are 3 people of interest that have been identified. You may proceed to interview them if you wish to do so. There is Jamie, an old kayak instructor, he often hangs out near the river and may have noticed an abnormality; Jacqueline, a shop owner, she claims to have observed something suspicious wen closing late; and Nick, a jogger, he claims to have heard a splash in the river some time after the estimated time of """,Interview Jamie the old kayak instructor,Interview Jacqueline the shop owner,Interview Nick the jogger,4,5,6,,,,,,
4,"You head to river wear and see people kayaking. You spot the instructor and proceed with the interview. [Player]""Hi, I am helping the police with murder yesterday. May I ask you a few questions?"" [Jamie]""Sure.""",Ask where he was last night,Ask if he notices anything strange last night,9,10,,,,,,,,
5,"You find the shop and went in. [Player]""You must be Jacqueline. I am working with the police and would like to ask a few questions about yesterday's murder if that's alright?"" [Jacqueline]""Sure thing.""",Ask why did she close the shop late,Ask if she observed anything that night,,,,,,,,,,
6,"You find the a jogger. [Player]""Excuse me are you Nick? I am working with the police and would like to ask you a few questions about the murder.""[Nick]""Yes I am fire away.""",Ask where he was jogging,Ask about the splash he heard,13,14,,,,,,,,
7,"[Jamie]""I was in a boat shed near the river.""",Ask if he notices anything strange last night,Finish interviewing Jamie,8,9,,,,,,,,
8,"[Jamie]""At around 2:00AM I think I may have heard a splash in the river.""",Ask where he was last night,Finish interviewing Jamie the old kayak instructor,7,9,,,,,,,,
9,"[Player]""Thanks for your time Jamie.""",Interview Jacqueline the shop owner,Interview Nick the jogger,Finish interviewing and head back to the police station,5,6,16,,,,,,
10,"[Jacqueline]""There are lots of student parties this year so I extend business hours to take advantage of that.""",Ask if she observed anything that night,Finish interviewing Jacqueline the shop owner,11,12,,,,,,,,
11,"[Jacqueline]""I saw what I assumed to be students coming from a party, however they appeared distraught and unreceptive of strangers. I saw them heading to the bridge with an unusually large bag.""",Ask why did she close the shop late,Finish interviewing Jacqueline the shop owner,10,12,,,,,,,,
12,"[Player]""Thanks for your time Jacqueline.""",Interview Nick the jogger,Interview Jamie the old kayak instructor,Finish interviewing and head back to the police station,6,4,16,,,,,,
13,"[Nick]""I was jogging around Durham Castle""",Ask about the splash he heard,Finish interviewing Nick the jogger,14,15,,,,,,,,
14,"[Nick]""That’s right, I heard a splash at around 2:00 am. I remember it because it was quite loud.""",Ask where he was jogging,Finish interviewing Nick the jogger,13,15,,,,,,,,
15,"[Player]""Thanks for your time Nick.""",Finish interviewing and head back to the police station,Interview Jamie the old kayak instructor,Interview Jacqueline the shop owner,16,4,5,,,,,,
16,"You head back to the police station and asked if you can help with anything else. [Carl]""You can help finding out the identity of the victim. He is probably a student so talk to the university to see if there are any missing students."" You head to the reception at the university Palatine Centre. [Player] ""Hi, I am a student here and is currently helping out the police in investigating a murder on Thursday, are there any students missing by any chance?"" [Vanessa] ""Let me have a look into the database."" There are no students reported missing but they can give you a list of students that missed all their registered academic sessions yesterday and today. You receive a list of 133 students. The next day you arrive at the police station.",Hand the list to Carl,17,,,,,,,,,,
17,"[Carl]""Well done. Keep up the good work.""",Ask if there is an updated report on the investigation,Ask if we have identified the victim,18,19,,,,,,,,,
18,"[Carl]""Based on the information we gathered yesterday, we have a rough outline of the events. On Wednesday at 23:00, the victim died. At 1:30 several students were spotted in town carrying a large bag believed to contain the victim's body. After looking around for half an hour, at 2:00am they decided to throw the body over the bridge. The splash was heard by an old kayak instructor and a jogger. At 16:00, the body was found.""",Ask if we have identified the victim,Head to Collingwood college,19,20,,,,,,,,
19,"[Carl] ""We sent officers to investigate each name on the list of 133 students that you brought. We managed to confirm all but 1 name on the list: Robert Miller. We then matched the physical description of the victim with the photo on Robert Miller’s student ID and determined it to be a match. We would like you to investigate where Robert went last night. We know that he lives at Collingwood college near the botanical gardens, so that might be a good place to start.""",Head to Collingwood college,Ask if there is an updated report on the investigation,20,18,,,,,,,,
20,"You go to Collingwood college and ask if anyone knows Robert Miller. You find 2 students who claim to know Robert. One has identified themself as Robert's girlfriend and the other is resistant to questioning.",Ask the receptionist if she saw Robert on Wednesday,Ask the girlfriend,Ask the unfriendly student,21,22,23,,,,,,
21,"[Jane]""I believe I saw that student leave the college at around 18:00.""",Ask the girlfriend,Ask the unfriendly student,Finish questioning them,22,23,24,,,,,,
22,"[Emily]""My name is Emily Stratford. Me and Robert were dating for 3 months. He told me that he was going to a party on wednesday with friends of his from the table tennis society.""",Ask the unfriendly student,Ask the receptionist if she saw Robert on Wednesday,Finish questioning them,23,21,24,,,,,,
23,"[James]""My name is James. I know Robert went to a party but I saw him come back to college at 22:00 on Wednesday.""",Finish questioning them,Ask the receptionist if she saw Robert on Wednesday,Ask the girlfriend,24,21,22,,,,,,
24,"With no leads left you decide to investigate the party that Robert went to. You have a look at the table tennis society facebook page and see the venue listed is a nightclub called Klute. Just before leaving the page you notice that James Stockfield is listed as a member. He looks like the unfriendly student James who identified himself as Robert’s friend so you conclude they must be the same person. You note that it is suspicious that James is a member of the table tennis society but did not go to the party and referred to it in an anonymous way. ",25,,,,,,,,,,,
25,"You make your way to the nightclub and ask the staff if they recognise the photo of Robert. The barman says he does so you question him.",Ask if he knows Robert,Ask if there way anything suspicious about his behaviour,26,27,,,,,,,,
26,"[Aaron]""I saw him here on Wednesday. He came together with a group of students.""",Ask if there was anything suspicious about his behaviour,Finish question the barman,27,28,,,,,,,,
27,"[Aaron]""Not particularly. He seemed to be having a fun time. At about 10:30 he seemed to pass out and some of his friends had to carry him out.""",Finish questioning the barman,Ask if there was anything suspicious about his behaviour,26,28,,,,,,,,
